163.172.64.133 - - [27/Jun/2017:07:17:24 +0000] "GET //a2billing/customer/templates/default/footer.tpl HTTP/1.1" 404 23017 "-" "python-requests/2.6.0 CPython/2.7.5 Linux/3.10.0-514.21.2.el7.x86_64"
203.198.106.241 - - [27/Jun/2017:08:42:57 +0000] "GET / HTTP/1.1" 200 5060 "-" "-"
164.52.7.132 - - [27/Jun/2017:09:17:04 +0000] "GET / HTTP/1.1" 200 1859 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0"
118.193.31.222 - - [27/Jun/2017:09:48:24 +0000] "GET / HTTP/1.1" 200 1859 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0"
118.193.31.222 - - [27/Jun/2017:09:48:27 +0000] "GET / HTTP/1.0" 200 1920 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0"
185.35.63.142 - - [27/Jun/2017:14:09:45 +0000] "GET / HTTP/1.1" 200 5095 "-" "dl"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /mysql/admin/ HTTP/1.1" 301 538 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /mysql/dbadmin/ HTTP/1.1" 301 542 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /mysql/sqlmanager/ HTTP/1.1" 301 548 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /mysql/mysqlmanager/ HTTP/1.1" 301 552 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /phpmyadmin/ HTTP/1.1" 301 536 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /phpMyadmin/ HTTP/1.1" 301 536 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /phpMyAdmin/ HTTP/1.1" 301 536 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /phpmyAdmin/ HTTP/1.1" 301 536 "-" "Mozilla/5.0 Jorgee"
122.210.140.66 - - [27/Jun/2017:14:33:46 +0000] "GET /phpmyadmin2/ HTTP/1.1" 301 538 "-" "Mozilla/5.0 Jorgee"
