status_code:404 163.172.64.133 [27/Jun/2017:07:17:24 +0000] GET //a2billing/customer/templates/default/footer.tpl HTTP/1.1
status_code:200 203.198.106.241 [27/Jun/2017:08:42:57 +0000] GET / HTTP/1.0
status_code:200 164.52.7.132 [27/Jun/2017:09:17:04 +0000] GET / HTTP/1.1
status_code:200 118.193.31.222 [27/Jun/2017:09:48:24 +0000] GET / HTTP/1.1
status_code:200 118.193.31.222 [27/Jun/2017:09:48:27 +0000] GET / HTTP/1.1
status_code:200 185.35.63.142 [27/Jun/2017:14:09:45 +0000] GET / HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/mysql/admin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/mysql/dbadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/mysql/sqlmanager/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/mysql/mysqlmanager/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpmyadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpMyadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpMyAdmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpmyAdmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpmyadmin2/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpmyadmin3/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpmyadmin4/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/2phpmyadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:46 +0000] HEAD http://128.199.100.115:80/phpmy/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:47 +0000] HEAD http://128.199.100.115:80/phppma/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:47 +0000] HEAD http://128.199.100.115:80/myadmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:47 +0000] HEAD http://128.199.100.115:80/shopdb/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:47 +0000] HEAD http://128.199.100.115:80/MyAdmin/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:47 +0000] HEAD http://128.199.100.115:80/program/ HTTP/1.1
status_code:301 122.210.140.66 [27/Jun/2017:14:33:47 +0000] HEAD http://128.199.100.115:80/PMA/ HTTP/1.1
