163.172.64.133, 127.0.0.1 - [27/Jun/2017:07:17:24 +0000] "GET /index.php" 404 0 - 942 16542 0.106 4194304 18.85% 37.69% "//a2billing/customer/templates/default/footer.tpl"
203.198.106.241, 127.0.0.1 - [27/Jun/2017:08:42:57 +0000] "GET /index.php" 200 0 - 942 18329 0.040 4194304 24.78% 24.78% "/"
164.52.7.132, 127.0.0.1 - [27/Jun/2017:09:17:04 +0000] "GET /index.php" 200 0 - 942 19011 0.095 4194304 52.38% 31.43% "/"
118.193.31.222, 127.0.0.1 - [27/Jun/2017:09:48:24 +0000] "GET /index.php" 200 0 - 942 19652 0.080 4194304 74.55% 12.42% "/"
118.193.31.222, 127.0.0.1 - [27/Jun/2017:09:48:27 +0000] "GET /index.php" 200 0 - 942 19652 0.064 4194304 62.71% 31.36% "/"
185.35.63.142, 127.0.0.1 - [27/Jun/2017:14:09:45 +0000] "GET /index.php" 200 0 - 942 25315 0.047 4194304 42.47% 42.47% "/"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:16:53:20 +0000] "GET /index.php" 302 0 - 942 28874 0.046 4194304 21.97% 21.97% "/createUser"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:16:53:20 +0000] "GET /index.php" 500 0 - 942 28874 0.046 4194304 43.06% 21.53% "/login"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:16:53:53 +0000] "GET /index.php" 500 0 - 942 28884 0.087 4194304 69.22% 11.54% "/login"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:16:54:07 +0000] "GET /index.php" 404 0 - 942 28902 0.046 4194304 64.76% 0.00% "/register"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:16:54:45 +0000] "GET /index.php" 200 0 - 942 28949 0.043 4194304 46.78% 23.39% "/"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:16:54:51 +0000] "GET /index.php" 500 0 - 942 28949 0.073 4194304 95.28% 0.00% "/login"
52.174.52.33, 127.0.0.1 - [27/Jun/2017:18:28:34 +0000] "GET /index.php" 200 0 - 942 30809 0.078 4194304 51.58% 25.79% "/"
124.112.228.45, 127.0.0.1 - [27/Jun/2017:20:27:11 +0000] "GET /index.php" 404 0 - 942 691 0.035 4194304 56.79% 0.00% "/manager/html"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:36:59 +0000] "GET /index.php" 500 0 - 942 3514 0.114 4194304 52.45% 17.48% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:39:12 +0000] "GET /index.php" 500 0 - 942 3701 0.091 4194304 65.97% 21.99% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:39:20 +0000] "GET /index.php" 500 0 - 942 3701 0.071 4194304 84.64% 14.11% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:39:45 +0000] "GET /index.php" 200 0 - 942 3715 0.042 4194304 23.80% 23.80% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:39:58 +0000] "GET /index.php" 200 0 - 942 3717 0.074 4194304 67.31% 13.46% "/employee/create"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:40:13 +0000] "POST /index.php" 302 139 - 942 3720 0.078 4194304 76.49% 12.75% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:40:13 +0000] "GET /index.php" 200 0 - 942 3720 0.068 4194304 58.76% 14.69% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:44:22 +0000] "GET /index.php" 200 0 - 942 3795 0.081 4194304 73.79% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:44:24 +0000] "POST /index.php" 302 62 - 942 3795 0.083 4194304 60.59% 12.12% "/employee/7"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:44:24 +0000] "GET /index.php" 200 0 - 942 3795 0.062 4194304 64.58% 16.15% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:49:36 +0000] "GET /index.php" 200 0 - 942 3864 0.087 4194304 69.14% 23.05% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:49:38 +0000] "GET /index.php" 200 0 - 942 3864 0.066 4194304 75.86% 0.00% "/employee/6"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:54:37 +0000] "GET /index.php" 200 0 - 942 3968 0.081 4194304 74.51% 12.42% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:58:17 +0000] "GET /index.php" 500 0 - 942 4048 0.068 4194304 58.59% 29.30% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:58:31 +0000] "GET /index.php" 200 0 - 942 4059 0.079 4194304 76.16% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:58:33 +0000] "GET /index.php" 200 0 - 942 4059 0.062 4194304 64.87% 16.22% "/employee/6"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:58:36 +0000] "GET /index.php" 200 0 - 942 4059 0.065 4194304 76.90% 30.76% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:58:38 +0000] "GET /index.php" 500 0 - 942 4059 0.068 4194304 88.10% 0.00% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:22:59:15 +0000] "GET /index.php" 500 0 - 942 4065 0.040 4194304 49.48% 24.74% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:00:21 +0000] "GET /index.php" 500 0 - 942 4077 0.085 4194304 58.97% 23.59% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:00:26 +0000] "GET /index.php" 200 0 - 942 4077 0.066 4194304 60.98% 15.25% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:00:28 +0000] "GET /index.php" 500 0 - 942 4077 0.069 4194304 87.07% 0.00% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:00:54 +0000] "GET /index.php" 500 0 - 942 4081 0.089 4194304 67.21% 22.40% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:00:57 +0000] "GET /index.php" 500 0 - 942 4081 0.072 4194304 69.27% 13.85% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:01:42 +0000] "GET /index.php" 200 0 - 942 4086 0.083 4194304 48.10% 36.08% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:01 +0000] "POST /index.php" 302 165 - 942 4092 0.080 4194304 49.89% 24.94% "/employee/6"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:02 +0000] "GET /index.php" 200 0 - 942 4092 0.072 4194304 69.00% 27.60% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:06 +0000] "GET /index.php" 200 0 - 942 4092 0.077 4194304 51.99% 26.00% "/employee/6"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:31 +0000] "GET /index.php" 200 0 - 942 4135 0.074 4194304 54.38% 27.19% "/employee/6/edit"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:38 +0000] "POST /index.php" 302 164 - 942 4135 0.072 4194304 69.24% 13.85% "/employee/6"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:38 +0000] "GET /index.php" 200 0 - 942 4135 0.061 4194304 81.53% 16.31% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:41 +0000] "GET /index.php" 200 0 - 942 4135 0.067 4194304 74.92% 14.98% "/employee/6"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:02:45 +0000] "GET /index.php" 200 0 - 942 4135 0.060 2097152 82.72% 16.54% "/employee"
139.162.124.167, 127.0.0.1 - [27/Jun/2017:23:44:30 +0000] "GET /index.php" 200 0 - 942 5020 0.078 4194304 77.32% 12.89% "/"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:58:22 +0000] "GET /index.php" 500 0 - 942 5269 0.067 4194304 60.12% 15.03% "/employee/create"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:58:48 +0000] "GET /index.php" 200 0 - 942 5280 0.078 4194304 77.34% 0.00% "/employee/create"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:58:51 +0000] "POST /index.php" 302 96 - 942 5280 0.100 4194304 60.02% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [27/Jun/2017:23:58:51 +0000] "GET /index.php" 200 0 - 942 5280 0.068 4194304 73.24% 14.65% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:09 +0000] "POST /index.php" 302 96 - 942 5299 0.079 4194304 76.35% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:09 +0000] "GET /index.php" 200 0 - 942 5299 0.068 4194304 73.73% 14.75% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:12 +0000] "POST /index.php" 302 97 - 942 5299 0.067 4194304 59.26% 29.63% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:12 +0000] "GET /index.php" 200 0 - 942 5299 0.064 4194304 62.66% 15.67% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:24 +0000] "POST /index.php" 302 112 - 942 5340 0.135 4194304 37.01% 14.80% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:24 +0000] "GET /index.php" 200 0 - 942 5340 0.125 4194304 39.89% 7.98% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:46 +0000] "POST /index.php" 302 123 - 942 5349 0.080 4194304 62.74% 25.10% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:46 +0000] "GET /index.php" 200 0 - 942 5349 0.066 4194304 75.44% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:02:50 +0000] "GET /index.php" 200 0 - 942 5349 0.066 4194304 60.42% 15.10% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:03:04 +0000] "POST /index.php" 302 123 - 942 5353 0.079 4194304 50.36% 37.77% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:03:04 +0000] "GET /index.php" 200 0 - 942 5353 0.066 4194304 75.21% 15.04% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:07:43 +0000] "POST /index.php" 302 113 - 942 5419 0.075 4194304 67.03% 13.41% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:07:43 +0000] "GET /index.php" 200 0 - 942 5419 0.087 4194304 68.92% 11.49% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:07:46 +0000] "GET /index.php" 200 0 - 942 5419 0.070 4194304 57.36% 28.68% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:07:59 +0000] "POST /index.php" 302 113 - 942 5423 0.086 4194304 58.23% 11.65% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:07:59 +0000] "GET /index.php" 200 0 - 942 5423 0.069 4194304 86.95% 14.49% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:08:02 +0000] "GET /index.php" 200 0 - 942 5423 0.063 4194304 79.00% 15.80% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:08:22 +0000] "POST /index.php" 302 113 - 942 5446 0.075 4194304 53.56% 26.78% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:08:22 +0000] "GET /index.php" 200 0 - 942 5446 0.073 4194304 68.41% 27.37% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:08:26 +0000] "GET /index.php" 200 0 - 942 5446 0.063 4194304 47.73% 31.82% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:08:35 +0000] "POST /index.php" 302 113 - 942 5446 0.058 4194304 69.15% 17.29% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:08:35 +0000] "GET /index.php" 200 0 - 942 5446 0.030 2097152 98.84% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:09:31 +0000] "GET /index.php" 200 0 - 942 5546 0.107 4194304 65.44% 18.70% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:00:09:36 +0000] "GET /index.php?page=2" 200 0 - 942 5546 0.071 4194304 70.05% 28.02% "/employee?page=2"
